produto_final;produto_pai_slug;opcao;codigo;produto_atual;produto_atual_slug;acao
Amaciante Zavaski 5L;amaciante-zavaski-coco-5-l;Coco;6669;Amaciante Zavaski Coco 5 L;amaciante-zavaski-coco-5-l;manter como produto pai e adicionar como opção
Amaciante Zavaski 5L;amaciante-zavaski-coco-5-l;Lavanda;6670;Amaciante Zavaski Lavanda 5 L;amaciante-zavaski-lavanda-5-l;virar opção e remover produto separado
Aromatizante ASA 140ml;aromatizante-asa-140ml-floral-matricaria;Floral Matricaria;4324;Aromatizante ASA 140ML Floral Matricaria;aromatizante-asa-140ml-floral-matricaria;manter como produto pai e adicionar como opção
Aromatizante ASA 140ml;aromatizante-asa-140ml-floral-matricaria;Laranja c Canela;4348;Aromatizante ASA 140ML Laranja C/ Canela;aromatizante-asa-140ml-laranja-c-canela;virar opção e remover produto separado
Aromatizante Cheirudo 140ml;aromatizante-cheirudo-140ml-bamboo;Bamboo;8862;Aromatizante Cheirudo 140ML Bamboo;aromatizante-cheirudo-140ml-bamboo;manter como produto pai e adicionar como opção
Aromatizante Cheirudo 140ml;aromatizante-cheirudo-140ml-bamboo;Lavanda;4279;Aromatizante Cheirudo 140ML Lavanda;aromatizante-cheirudo-140ml-lavanda;virar opção e remover produto separado
Aromatizante Cheirudo 140ml;aromatizante-cheirudo-140ml-bamboo;Talco;4325;Aromatizante Cheirudo 140ML Talco;aromatizante-cheirudo-140ml-talco;virar opção e remover produto separado
Aromatizante Coala 120ml;aromatizante-coala-120ml-algas-marinhas;Algas Marinhas;7756;Aromatizante Coala 120ML Algas Marinhas;aromatizante-coala-120ml-algas-marinhas;manter como produto pai e adicionar como opção
Aromatizante Coala 120ml;aromatizante-coala-120ml-algas-marinhas;Algodão;7840;Aromatizante Coala 120ML Algodao;aromatizante-coala-120ml-algodao;virar opção e remover produto separado
Aromatizante Coala 120ml;aromatizante-coala-120ml-algas-marinhas;Bambu;7757;Aromatizante Coala 120ML Bambu;aromatizante-coala-120ml-bambu;virar opção e remover produto separado
Aromatizante Coala 120ml;aromatizante-coala-120ml-algas-marinhas;Chá Branco;7758;Aromatizante Coala 120ML CHA Branco;aromatizante-coala-120ml-cha-branco;virar opção e remover produto separado
Aromatizante Coala 120ml;aromatizante-coala-120ml-algas-marinhas;Cravo e Canela;7850;Aromatizante Coala 120ML Cravo e Canela;aromatizante-coala-120ml-cravo-e-canela;virar opção e remover produto separado
Aromatizante Coala 120ml;aromatizante-coala-120ml-algas-marinhas;Eucalipto;7851;Aromatizante Coala 120ML Eucalipto;aromatizante-coala-120ml-eucalipto;virar opção e remover produto separado
Aromatizante Coala 120ml;aromatizante-coala-120ml-algas-marinhas;Lavanda;7802;Aromatizante Coala 120ML Lavanda;aromatizante-coala-120ml-lavanda;virar opção e remover produto separado
Aromatizante Coala 120ml;aromatizante-coala-120ml-algas-marinhas;Lima Limão;7759;Aromatizante Coala 120ML Lima Limao;aromatizante-coala-120ml-lima-limao;virar opção e remover produto separado
Aromatizante Coala 120ml;aromatizante-coala-120ml-algas-marinhas;Orquídea Negra;7760;Aromatizante Coala 120ML Orquidea Negra;aromatizante-coala-120ml-orquidea-negra;virar opção e remover produto separado
Aromatizante Coala 120ml;aromatizante-coala-120ml-algas-marinhas;Pinho;7803;Aromatizante Coala 120ML Pinho;aromatizante-coala-120ml-pinho;virar opção e remover produto separado
Aromatizante Coala 120ml;aromatizante-coala-120ml-algas-marinhas;Talco;7761;Aromatizante Coala 120ML Talco;aromatizante-coala-120ml-talco;virar opção e remover produto separado
Bloco Sanitário para Caixa Acoplada Higie Plus;bloco-sanitario-p-caixa-acoplada-lavanda-higie-plus;Lavanda;9880;Bloco Sanitário P/ Caixa Acoplada Lavanda Higie Plus;bloco-sanitario-p-caixa-acoplada-lavanda-higie-plus;manter como produto pai e adicionar como opção
Bloco Sanitário para Caixa Acoplada Higie Plus;bloco-sanitario-p-caixa-acoplada-lavanda-higie-plus;Marine;9881;Bloco Sanitário P/ Caixa Acoplada Marine Higie Plus;bloco-sanitario-p-caixa-acoplada-marine-higie-plus;virar opção e remover produto separado
Bloqueador Sanitário Premisse;bloqueador-sanitario-canela-premisse;Canela;5546;Bloqueador Sanitário Canela Premisse;bloqueador-sanitario-canela-premisse;manter como produto pai e adicionar como opção
Bloqueador Sanitário Premisse;bloqueador-sanitario-canela-premisse;Capim Limão;7769;Bloqueador Sanitário Capim Limao Premisse;bloqueador-sanitario-capim-limao-premisse;virar opção e remover produto separado
Bloqueador Sanitário Premisse;bloqueador-sanitario-canela-premisse;Tutti Frutti;5547;Bloqueador Sanitário Tutti Frutti Premisse;bloqueador-sanitario-tutti-frutti-premisse;virar opção e remover produto separado
Cabo Alumínio com Rosca Sanches 1,40m;cabo-aluminio-c-rosca-sanches-1-40mt-estriado;Estriado;6682;Cabo Aluminio C/rosca Sanches 1,40MT Estriado;cabo-aluminio-c-rosca-sanches-1-40mt-estriado;manter como produto pai e adicionar como opção
Cabo Alumínio com Rosca Sanches 1,40m;cabo-aluminio-c-rosca-sanches-1-40mt-estriado;Liso;5484;Cabo Aluminio C/rosca Sanches 1,40MT Liso;cabo-aluminio-c-rosca-sanches-1-40mt-liso;virar opção e remover produto separado
Conjunto Mop Pó Sanches;conjunto-mop-po-40cm-sanches;40CM;6683;Conjunto MOP PÓ 40CM Sanches;conjunto-mop-po-40cm-sanches;manter como produto pai e adicionar como opção
Conjunto Mop Pó Sanches;conjunto-mop-po-40cm-sanches;60CM;5488;Conjunto MOP PÓ 60CM Sanches;conjunto-mop-po-60cm-sanches;virar opção e remover produto separado
Copo Descartável 180ml Transparente;copo-180ml-dudigo-promo-com-25tr-transparente;Dudigo Promo com 25TR;7831;Copo 180ML Dudigo Promo com 25TR Transparente;copo-180ml-dudigo-promo-com-25tr-transparente;manter como produto pai e adicionar como opção
Copo Descartável 180ml Transparente;copo-180ml-dudigo-promo-com-25tr-transparente;Dudigo TR c 100;66;Copo 180ML Dudigo TR C/100 Transparente;copo-180ml-dudigo-tr-c-100-transparente;virar opção e remover produto separado
Copo Descartável 180ml Transparente;copo-180ml-dudigo-promo-com-25tr-transparente;Gpack Glight com 25TR;9914;Copo 180ML Gpack Glight com 25TR Transparente;copo-180ml-gpack-glight-com-25tr-transparente;virar opção e remover produto separado
Copo Descartável 180ml Transparente;copo-180ml-dudigo-promo-com-25tr-transparente;Gpack com 25TR;9913;Copo 180ML Gpack com 25TR Transparente;copo-180ml-gpack-com-25tr-transparente;virar opção e remover produto separado
Copo Térmico BRV;copo-termico-brv-120ml-tira-c-25;120ML Tira c 25;85;Copo Termico BRV 120ML Tira C/25;copo-termico-brv-120ml-tira-c-25;manter como produto pai e adicionar como opção
Copo Térmico BRV;copo-termico-brv-120ml-tira-c-25;180ML Tira c 25;86;Copo Termico BRV 180ML Tira C/25;copo-termico-brv-180ml-tira-c-25;virar opção e remover produto separado
Desinfetante Spry Concentrado 1/20;desinfetante-spry-concentrado-kaiaque-1-20;Kaiaque;6644;Desinfetante Spry Concentrado Kaiaque 1/20;desinfetante-spry-concentrado-kaiaque-1-20;manter como produto pai e adicionar como opção
Desinfetante Spry Concentrado 1/20;desinfetante-spry-concentrado-kaiaque-1-20;Lavanda;6657;Desinfetante Spry Concentrado Lavanda 1/20;desinfetante-spry-concentrado-lavanda-1-20;virar opção e remover produto separado
Desinfetante Spry Concentrado 1/20;desinfetante-spry-concentrado-kaiaque-1-20;Marine;7748;Desinfetante Spry Concentrado Marine 1/20;desinfetante-spry-concentrado-marine-1-20;virar opção e remover produto separado
Desinfetante Spry Concentrado 1/20;desinfetante-spry-concentrado-kaiaque-1-20;Talco;6661;Desinfetante Spry Concentrado Talco 1/20;desinfetante-spry-concentrado-talco-1-20;virar opção e remover produto separado
