codigo;produto;categoria_principal;categorias;quantidade_vendida;pagina_pdf;acao;observacao
6616;Açúcar Branco 1KG;diversos;diversos, cozinha;8;1;adicionar;
7842;Açúcar Docesucar Branco 1KG;diversos;diversos, cozinha;26;1;adicionar;
7733;Açúcar Sache Caravelas Cristal Branco CX C/1000;diversos;diversos, cozinha;13;1;adicionar;
6619;Adoçante Liquido 100ML Magro;diversos;diversos, cozinha;4;1;adicionar;
9877;Agua Perfumada Caszulo Bambu Orieltal 500ML;aromatizadores;aromatizadores;2;1;adicionar;
9878;Agua Perfumada Caszulo Fava de Baunilha 500ML;aromatizadores;aromatizadores;5;1;adicionar;
7788;Agua Perfumada 365ML Dubai BRV;aromatizadores;aromatizadores;1;1;adicionar;
1996;Agua Perfumada VIA Aroma Bamboo 500ML;aromatizadores;aromatizadores;1;1;ja_encontrado_ou_parecido;
6648;Agua Perfumada VIA Aroma BRV Amsterda 365ML;aromatizadores;aromatizadores;1;1;ja_encontrado_ou_parecido;
5450;Agua Perfumada VIA Aroma BRV Baby 500ML;aromatizadores;aromatizadores;2;1;ja_encontrado_ou_parecido;
5451;Agua Perfumada VIA Aroma BRV Bamboo 500ML;aromatizadores;aromatizadores;1;1;ja_encontrado_ou_parecido;
5452;Agua Perfumada VIA Aroma BRV Black Vanila 500ML;aromatizadores;aromatizadores;3;1;ja_encontrado_ou_parecido;
6649;Agua Perfumada VIA Aroma BRV Black Vanilla 500ML;aromatizadores;aromatizadores;3;1;ja_encontrado_ou_parecido;
6650;Agua Perfumada VIA Aroma BRV Lavanda 500ML;aromatizadores;aromatizadores;3;1;ja_encontrado_ou_parecido;
5552;Agua Perfumada VIA Aroma BRV Lavanda Francesa 500ML;aromatizadores;aromatizadores;5;1;ja_encontrado_ou_parecido;
6697;Agua Perfumada VIA Aroma Vanilla 500ML;aromatizadores;aromatizadores;9;1;ja_encontrado_ou_parecido;
2208;Agua Sanitaria Besser 5L;produtos-de-limpeza;produtos-de-limpeza;1160;1;ja_encontrado_ou_parecido;
6693;Álcool Acendedor Araras 5L 80%;produtos-de-limpeza;produtos-de-limpeza;22;1;adicionar;
4388;Álcool Acendedor Vale Verde / Sulmar 5L 80%;produtos-de-limpeza;produtos-de-limpeza;12;1;adicionar;
4359;Álcool GEL Pump Premisse 500ML;produtos-de-limpeza;produtos-de-limpeza, banheiro;3;1;adicionar;
4375;Álcool GEL Vale Verde 5L 70%;produtos-de-limpeza;produtos-de-limpeza, banheiro;31;1;adicionar;
8869;Álcool Liquido 70% 1 L Araras;produtos-de-limpeza;produtos-de-limpeza;490;1;adicionar;
4374;Álcool Liquido 70% 1 L Vale Verde;produtos-de-limpeza;produtos-de-limpeza;44;1;adicionar;
5579;Álcool Liquido 92,8% 1 L Vale Verde;produtos-de-limpeza;produtos-de-limpeza;94;1;adicionar;
8868;Álcool Liquido Araras 5L 70%;produtos-de-limpeza;produtos-de-limpeza;515;1;adicionar;
6621;Álcool Perfumado Floral Quimak 5L;produtos-de-limpeza;produtos-de-limpeza;4;1;adicionar;
5519;Álcool Perfumado Lavanda Quimak 5L;produtos-de-limpeza;produtos-de-limpeza;4;1;adicionar;
