"slug";"nome";"categoria";"tem_variacoes";"qtd_variacoes";"descricao";"imagem"
"refil-difusor-de-varetas-250ml";"Refil Difusor De Varetas 250ml";"aromatizadores";"sim";"5";"Os refis Via Aroma foram desenvolvidos para repor a sua fragrância favorita com facilidade e para nunca te deixar sem o seu produto preferido.";"https://static.wixstatic.com/media/8469f3_9e7acd5a15774841a582d98ec69779da~mv2.jpg"
"vassoura-rodo-esfregao-flat-mop-slim-balde-espremedor-nobre";"Vassoura Rodo Esfregão Flat Mop Slim Balde Espremedor Nobre";"equipamentos";"não";"0";"Flat Mop Slim (balde cinza, c/espremedor, e 1 refil de microfibra) - Nobre
Ideal para limpar vidros, pisos, paredes, móveis e rodapés. pisos lisos de vinil, laminados, porcelanatos, madeira, cerâmicas, azulejos e mármores. Limpa sem riscar e levantar poeira. Seu refil de microfibra absorve melhor a sujeira, é removível e pode ser lavado em máquina de lavar. Fácil de montar e prático para a limpeza. Seu balde, com capacidade de 6 litros, possui sistema de dreno para remover a água após o uso. Com cabo emborrachado, muito mais conforto para suas mãos. Com espremedor para secagem rápida e trava lateral. Prática lavagem e troca do refil.";"https://static.wixstatic.com/media/8469f3_aa534c2265c24a4184652767e1d34c85~mv2.png"
"shampoo-automotivo-com-cera-5l";"Shampoo Automotivo Com Cera 5L";"produtos-de-limpeza";"não";"0";"Super Concentrado Com Cera";"https://static.wixstatic.com/media/8469f3_dde1176ec9814311828b672442b4db36~mv2.png"
"preteador-de-pneu-5l";"Preteador De Pneu 5L";"produtos-de-limpeza";"não";"0";"Brilho intenso, super concentrado.";"https://static.wixstatic.com/media/8469f3_938755f54a24400fac40a7ade32afe13~mv2.png"
"limpa-pedras-quimak-5l";"Limpa Pedras Quimak 5L";"produtos-de-limpeza";"não";"0";"O Desincrustante Ácido Limpa Pedra é usado para realizar a limpeza de área que contenha pedras. Pode ser utilizado em áreas com piscinas, muros, calçadas etc.";"https://static.wixstatic.com/media/8469f3_36d6bd529bc441a5835690270a948a97~mv2.png"
"desengraxante-quimak-5l";"Desengraxante Quimak 5L";"produtos-de-limpeza";"não";"0";"É indicado para limpeza em geral. Muito utilizado na indústria para limpeza de máquinas, motores e equipamentos, implementos agrícolas, instalações industriais, pisos cerâmicos e cimentados.";"https://static.wixstatic.com/media/8469f3_772b3cc7385b45e0a32c562c00284a9a~mv2.png"
"agua-perfumada-via-aroma";"Água Perfumada Via Aroma";"aromatizadores";"sim";"2";"Água Perfumada para Tecidos Via Aroma foi desenvolvida especialmente para criar sensações de bem-estar no seu lar.";"https://static.wixstatic.com/media/8469f3_cac4fd814fce4f6ca14d81f667908c42~mv2.png"
"essencias-via-aroma";"Essências Via Aroma";"aromatizadores";"sim";"14";"- Essências com perfume presente e forte
- Ajuda a relaxar
- Ideal para perfumar o ambiente";"https://static.wixstatic.com/media/8469f3_45a74a1269e544fabc3eec931470307a~mv2.jpg"
"lustra-moveis-jasmin-mr-keep-750ml";"Lustra Móveis Jasmin Mr. Keep - 750ml";"produtos-de-limpeza";"não";"0";"Keep Indicado para garantir aos seus móveis proteção e brilho natural sem engordurar. Diminui a incidência de poeira, deixando no ambiente um agradável aroma de jasmim.";"https://static.wixstatic.com/media/8469f3_91ab9bc42a97447a9f858b8908254778~mv2.png"
"sabonete-liquido-dove-5l";"Sabonete Líquido Dove 5L";"banheiro";"não";"0";"Sabonete Líquido Bactericida 5L
Ótimo para banheiros comerciais";"https://static.wixstatic.com/media/8469f3_42274b4142ef402f95da4168883fb642~mv2.jpg"
